Company,JobTitle,Location,JobType,WorkType,MinSalary,MaxSalary,Experience,Skills,SkillsNumber,Keyword,Applicants,UAEApplicants,JobPoster,ViewDate
Arthur Lawrence,Network / Infrastructure Administrator,Dubai,Contract,OnSite,0,0,8,"Cisco Technologies, Windows, Network Security, Network Management, Active Directory, Windows Server, Network Setup, Firewall Configuration, Virtual Private Network (VPN)",9,network administrator,857,16,Arthur Lawrence,05/02/2024
Technology Innovation Institute,Senior C++ Engineer - Autonomous Robotics,Abu Dhabi,Full-Time,OnSite,0,0,0,"C, C++, Linux, Microsoft Office, SQL, Embedded Systems",6,software architect,34,22,Technology Innovation Institute,05/02/2024
Unikie,Cloud Test Engineer,Abu Dhabi,Full-Time,Hybrid,0,0,5,"JIRA, Java, Linux, MySQL, Python, SQL, Amazon Web Services (AWS), Manual Testing, Regression Testing, Test Automation",10,software architect,45,28,Unikie,05/02/2024
Dubai Careers - A Smart Dubai Initiative,ENTERPRISE ARCHITECT DEVELOPER,Dubai,Full-Time,Hybrid,20001,30000,0,"CSS, Java, JavaScript, Microsoft SQL Server, Python, SQL, Project Management, Software Development, Requirements Analysis, Problem Solving",10,software architect,10,10,Dubai Careers - A Smart Dubai Initiative,05/02/2024
geidea,Enterprise Architect – Acquiring and Issuing,Dubai,Full-Time,OnSite,0,0,15,"Java, SQL, Project Management, Leadership, Agile Methodologies, Software Development, Team Management, Management (الإدارة), Cloud Computing, Solution Architectures",10,software architect,48,37,geidea,05/02/2024
Robert Walters,Python Engineer (Mid-Level),Dubai,Contract,OnSite,0,0,4,"Microsoft SQL Server, Python, SQL, T-SQL, Software Development, Backend Network Interface Development, Databases, ETL (Extract, Transform, Load), Documentation, Code Review",10,python developer,185,96,Rishya Dutt,05/02/2024
Women First Jobs,Python Developer,Dubai,Full-Time,OnSite,0,0,5,"CSS, Git, JavaScript, Python, REST APIs, Version Control, Frontend Development, Complex Systems, SQL Database Administration, Attention to Detail",10,python developer,580,10,Women First Jobs,05/02/2024
A3malouna.com,Python Developer,Dubai,Full-Time,OnSite,0,0,3,"API Development, Python, Version Control, Bug Fixing, Computer Science, Database Management System (DBMS), Application Programming Interfaces (APIs), Statistical Concepts, Attention to Detail, Data Science",10,python developer,1006,10,A3malouna.com,05/02/2024
Cititec Talent,Android Developer,Abu Dhabi,Full-Time,OnSite,0,0,4,"Git, Java, Object-Oriented Programming (OOP), Mobile App Development, Android Studio, Model-view-viewmodel (MVVM)",6,Android developer,363,154,Candice Dennison,05/02/2024
Technology Innovation Institute,Virtual Reality Surgical Simulator Graphics Engineer,Abu Dhabi,Full-Time,OnSite,0,0,0,"C#, Python, 3D Studio Max, DirectX, Virtual Reality (الواقع الافتراضي), OpenGL, Game Development, Blender, Computer Graphics, 3D Modeling",10,Android developer,315,252,Technology Innovation Institute,05/02/2024
Avrioc Technologies,Game Programmer (Unreal Engine),Abu Dhabi,Full-Time,OnSite,0,0,5,"C#, C++, Computer Science, 3D Math, Unreal Engine, Unreal Engine 4, Constraint, Linear Algebra, Mathematics, Game Design",10,games developer,38,26,Mohammad Amir Khan,05/02/2024
Canonical · EMEA,Senior Ubuntu Embedded IoT System Engineer,UAE,Full-Time,Remote,0,0,0,"C, Linux, Python, Error Fixing, Communications, Linux Kernel, Serial ATA (SATA), UEFI, Embedded Systems, Factory Programming",10,iot engineer,1885,52,Canonical · EMEA,05/02/2024
Unikie,NuttX OS software developer,Abu Dhabi,Full-Time,Remote,0,0,0,"C, C#, C++, CSS, HTML, Java, JavaScript, Python, SQL, Software Development",10,iot engineer,35,22,Unikie,05/02/2024
ARENGY,Senior Software Engineer – Combat Systems,Abu Dhabi,Full-Time,OnSite,0,0,10,"Microsoft Excel, Microsoft Office, Object-Oriented Programming (OOP), SQL, Windows, Goal-Directed Design, Frontend Development, Microsoft Azure, ADO.NET, ASP.NET MVC",10,iot engineer,0,0,ARENGY,05/02/2024
Technology Innovation Institute,"Pr Embedded System Engineer",Abu Dhabi,Full-Time,OnSite,0,0,5,"Git, Error Detection and Correction, Autonomous Systems (Internet), Buildroot, I2C, Universal Asynchronous Receiver/Transmitter (UART), Communication Protocols, Jenkins, Problem Solving (حل المشاكل), Embedded Linux (لينكس مضمن)",8,iot engineer,21,15,Abdulrahman AlHammadi,05/02/2024
Kingsmen Agency,Database Designer,Dubai,Full-Time,Remote,700,800,0,"NoSQL, Communications, MongoDB, Database Design, Computer Science, Relational Databases, Database Security, Data Modeling, Data Engineering, Data Modeling",10,database designer,24,10,Kingsmen Agency,05/02/2024
Aexonic Technologies Pvt. Ltd,Oracle Developer,Dubai,Full-Time,Hybrid,0,0,0,"JavaScript, SQL, Software Development, Oracle Database, Oracle SQL Developer, PL/SQL, Business Analysis, Problem Solving, Oracle E-Business Suite, Oracle Models",10,database designer,48,0,Aexonic Technologies Pvt. Ltd,05/02/2024
Synechron,Senior Oracle Developer,Dubai,Full-Time,OnSite,0,0,8,"HTML, Java, JavaScript, SQL, Software Development, Oracle Database, Database, Oracle Reports, Oracle E-Business Suite",10,database designer,45,20,Priyarshi Dhariwal,05/02/2024
